Index,Date_P##,Power1,Power2,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five,Thirty,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0316_P05,-10,-5,-10,-10,-5,-10,NA,NA,0,NA,-5,-10,-10,1,-10,,-15,-20,-5,-5,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,NA,NA,10,NA,10,10,10,10,10,,10,10,10,10,,,,,,,,,
OP Index 3rd Peak,,31,50,147,179,284,118,NA,NA,740,NA,70,72,289,83,352,,105,92,63,85,,,,,,,,,
OP End Frame,,800,800,2500,3000,2000,1900,NA,NA,1800,NA,1000,850,2300,1600,1600,,1100,1100,1300,900,,,,,,,,,
MA Peak Threshold,,20,20,20,25,20,20,NA,NA,30,NA,20,20,20,35,30,,10,10,20,20,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,NA,NA,10,NA,10,10,10,10,10,,10,10,10,10,,,,,,,,,
MA Index 3rd Peak,,668,1052,1599,905,656,797,NA,NA,3361,NA,1120,1732,950,645,1296,,630,8857,439,508,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0322_P06,0,40,-15,10,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
OP Index 3rd Peak,,112,433,126,648,267,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
OP End Frame,,750,1300,3000,3000,3000,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
MA Peak Threshold,,30,65,20,50,25,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
MA Distance Between,,10,30,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
MA Index 3rd Peak,,3751,3670,803,5408,1511,1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
OP Peak Threshold,0402_P07,-20,-10,-20,-20,-15,-10,-15,-10,-20,-10,-10,-10,0,-20,-10,,-10,-10,0,-20,-10,-10,-20,-15,-18,-20,-10,-10,-10
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10
OP Index 3rd Peak,,86,88,221,281,299,157,153,204,205,143,208,157,165,193,131,,130,137,139,102,155,212,262,189,122,104,106,223,128
OP End Frame,,1300,1300,3000,3000,2000,1800,1100,1000,1400,2300,1150,1300,1700,1700,1100,,700,650,800,900,1000,2450,1500,1900,1150,1750,1400,1400,1200
